game,game_time,minimum_total,minimum_odds,confidence,decision,elite_goalie_flag,goalie_warning,action,stake,reasoning,hit_rate,flag_count,flags,floor_10th,floor_safe,expected_total,combined_gpg,buffer,game_time_parsed,game_key,game_date,actual_total,result
Boston Bruins @ San Jose Sharks,2025-11-23 20:10:00-05:00,3.5,-875,21.0,NO,False,No elite goalie concerns,SKIP,0.0,Weak offense (2.63 GPG) | Slow pace (26.3 shots/game) | BOS neutral | SJS cold | Good buffer (1.8 goals) | BOS 2 days rest | SJS 1 day rest,,,,,,,,,2025-11-24 01:10:00+00:00,2025-11-24_Boston Bruins @ San Jose Sharks,2025-11-24,,PENDING
Vegas Golden Knights @ Anaheim Ducks,2025-11-22 22:10:00-05:00,3.5,-920,16.0,NO,True,"Akira Schmid (VGK) - 94.9% Sv%, 1.17 GAA",SKIP,0.0,Missing team stats | Missing team stats | VGK no stats | ANA warm | Missing team stats | VGK 2 days rest | ANA 2 days rest,,,,,,,,,2025-11-23 03:10:00+00:00,2025-11-23_Vegas Golden Knights @ Anaheim Ducks,2025-11-23,,PENDING
New York Islanders @ Vegas Golden Knights,2025-11-13 22:10:00-05:00,3.5,-950,16.0,NO,True,"Akira Schmid (VGK) - 94.9% Sv%, 1.17 GAA",SKIP,0.0,Missing team stats | Missing team stats | NYI warm | VGK no stats | Missing team stats | NYI 3 days rest | VGK 3 days rest,,,,,,,,,2025-11-14 03:10:00+00:00,2025-11-14_New York Islanders @ Vegas Golden Knights,2025-11-14,,PENDING
Chicago Blackhawks @ Vegas Golden Knights,2025-12-02 22:10:00-05:00,3.5,-975,13.0,NO,True,"Akira Schmid (VGK) - 94.9% Sv%, 1.17 GAA",SKIP,0.0,Missing team stats | Missing team stats | CHI neutral | VGK no stats | Missing team stats | CHI 2 days rest | VGK 3 days rest,,,,,,,,,2025-12-03 03:10:00+00:00,2025-12-03_Chicago Blackhawks @ Vegas Golden Knights,2025-12-03,,PENDING
Ottawa Senators @ Vegas Golden Knights,2025-11-26 22:10:00-05:00,3.5,-675,10.0,NO,True,"Akira Schmid (VGK) - 94.9% Sv%, 1.17 GAA",SKIP,0.0,Missing team stats | Missing team stats | OTT cold | VGK no stats | Missing team stats | OTT 2 days rest | VGK 2 days rest,,,,,,,,,2025-11-27 03:10:00+00:00,2025-11-27_Ottawa Senators @ Vegas Golden Knights,2025-11-27,,PENDING
Vegas Golden Knights @ Utah Mammoth,2025-11-20 21:10:00-05:00,3.5,-900,10.0,NO,True,"Akira Schmid (VGK) - 94.9% Sv%, 1.17 GAA",SKIP,0.0,Missing team stats | Missing team stats | VGK no stats | UTA cold | Missing team stats | VGK 2 days rest | UTA 2 days rest,,,,,,,,,2025-11-21 02:10:00+00:00,2025-11-21_Vegas Golden Knights @ Utah Mammoth,2025-11-21,,PENDING
Vegas Golden Knights @ Utah Mammoth,2025-11-24 21:10:00-05:00,3.5,-825,10.0,NO,True,"Akira Schmid (VGK) - 94.9% Sv%, 1.17 GAA",SKIP,0.0,Missing team stats | Missing team stats | VGK no stats | UTA cold | Missing team stats | VGK 2 days rest | UTA 2 days rest,,,,,,,,,2025-11-25 02:10:00+00:00,2025-11-25_Vegas Golden Knights @ Utah Mammoth,2025-11-25,,PENDING
Vegas Golden Knights @ Minnesota Wild,2025-11-16 18:10:00-05:00,3.5,-875,9.0,NO,True,"Akira Schmid (VGK) - 94.9% Sv%, 1.17 GAA",SKIP,0.0,Missing team stats | Missing team stats | VGK no stats | MIN neutral | Missing team stats | VGK 1 day rest | MIN 1 day rest,,,,,,,,,2025-11-16 23:10:00+00:00,2025-11-16_Vegas Golden Knights @ Minnesota Wild,2025-11-16,,PENDING
Vegas Golden Knights @ St Louis Blues,2025-11-15 20:00:00-05:00,3.5,-825,8.0,NO,True,"Akira Schmid (VGK) - 94.9% Sv%, 1.17 GAA",SKIP,0.0,Missing team stats | Missing team stats | VGK no stats | STL cold | Missing team stats | VGK 2 days rest | STL 1 day rest,,,,,,,,,2025-11-16 01:00:00+00:00,2025-11-16_Vegas Golden Knights @ St Louis Blues,2025-11-16,,PENDING
New York Rangers @ Vegas Golden Knights,2025-11-18 22:00:00-05:00,3.5,-750,6.0,NO,True,"Akira Schmid (VGK) - 94.9% Sv%, 1.17 GAA",SKIP,0.0,Missing team stats | Missing team stats | NYR cold | VGK no stats | Missing team stats | NYR 1 day rest | VGK 1 day rest,,,,,,,,,2025-11-19 03:00:00+00:00,2025-11-19_New York Rangers @ Vegas Golden Knights,2025-11-19,,PENDING
